model,bin,mean_predicted_probability,observed_positive_rate,calibration_gap
uncalibrated,1,0.00126144765173497,0.001536688436419516,-0.000275240784684546
uncalibrated,2,0.008219430058749951,0.001536688436419516,0.0066827416223304344
uncalibrated,3,0.024981221365432724,0.010372646945831733,0.01460857441960099
uncalibrated,4,0.05895355157422536,0.01844026123703419,0.04051329033719117
uncalibrated,5,0.1348565822234121,0.051863234729158665,0.08299334749425344
uncalibrated,6,0.28444353466533745,0.1299000768639508,0.15454345780138665
uncalibrated,7,0.48864666492428355,0.2489435266999616,0.23970313822432196
uncalibrated,8,0.667141648925903,0.38856923667050247,0.2785724122554005
uncalibrated,9,0.8259568815111801,0.6317814544055406,0.1941754271056395
uncalibrated,10,0.9649484070080532,0.9266231271609681,0.038325279847085114
sigmoid,1,0.000597006375158705,0.001152516327314637,-0.0005555099521559319
sigmoid,2,0.0033613234378852817,0.001920860545524395,0.0014404628923608868
sigmoid,3,0.00985538400807151,0.006146753745678064,0.0037086302623934465
sigmoid,4,0.023220842479284194,0.020745293891663467,0.0024755485876207274
sigmoid,5,0.05561019585244591,0.057987711213517666,-0.0023775153610717595
sigmoid,6,0.1266835730015109,0.12687427912341406,-0.00019070612190316694
sigmoid,7,0.25172951219037354,0.24779101037264695,0.003938501817726592
sigmoid,8,0.4125168658141394,0.3857087975412985,0.02680806827284088
sigmoid,9,0.6211250609552084,0.6341650671785029,-0.013040006223294487
sigmoid,10,0.9049851160433001,0.9269511726259131,-0.02196605658261297
isotonic,1,0.0002097051039719999,0.0011198208286674132,-0.0009101157246954133
isotonic,2,0.0028625734475069033,0.001864975755315181,0.0009975976921917224
isotonic,3,0.008855037761330621,0.007346938775510204,0.0015080989858204177
isotonic,4,0.024874600703255628,0.020353302611367127,0.0045212980918885
isotonic,5,0.058896016505378686,0.06182795698924731,-0.0029319404838686267
isotonic,6,0.13216092456080997,0.12697191227395152,0.0051890122868584465
isotonic,7,0.24659093895685333,0.24539170506912442,0.0011992338877289122
isotonic,8,0.3946097464962018,0.38316679477325133,0.011442951722950456
isotonic,9,0.6205393661307524,0.6357414448669202,-0.015202078736167746
isotonic,10,0.9236240162663529,0.9289596273291926,-0.00533561106283964
