column,category,count,proportion
education,HS-grad,10501,0.32250238014802984
education,Some-college,7291,0.22391818433094807
education,Bachelors,5355,0.16446055096587942
education,Masters,1723,0.05291606523141181
education,Assoc-voc,1382,0.042443413900064494
education,11th,1175,0.03608611529129941
education,Assoc-acdm,1067,0.032769263843248055
education,10th,933,0.02865391112066583
education,7th-8th,646,0.019839685513344186
education,Prof-school,576,0.0176898743896072
education,9th,514,0.01578575596572587
education,12th,433,0.013298117379687356
education,Doctorate,413,0.012683885630048217
education,5th-6th,333,0.010226958631491662
education,1st-4th,168,0.005159546696968767
education,Preschool,51,0.001566290961579804
income,<=50K,24720,0.7591904425539756
income,>50K,7841,0.2408095574460244
marital-status,Married-civ-spouse,14976,0.4599367341297872
marital-status,Never-married,10683,0.328091889069746
marital-status,Divorced,4443,0.1364515831823347
marital-status,Separated,1025,0.03147937716900587
marital-status,Widowed,993,0.030496606369583245
marital-status,Married-spouse-absent,418,0.012837443567458001
marital-status,Married-AF-spouse,23,0.0007063665120850096
native-country,United-States,29170,0.895857006848684
native-country,Mexico,643,0.019747550750898315
native-country,<NA>,583,0.0179048555019809
native-country,Philippines,198,0.006080894321427475
native-country,Germany,137,0.004207487485028101
native-country,Canada,121,0.00371610208531679
native-country,Puerto-Rico,114,0.0035011209729430915
native-country,El-Salvador,106,0.003255428273087436
native-country,India,100,0.0030711587481956942
native-country,Cuba,95,0.0029176008107859096
native-country,England,90,0.002764042873376125
native-country,Jamaica,81,0.0024876385860385123
native-country,South,80,0.0024569269985565555
native-country,China,75,0.002303369061146771
native-country,Italy,73,0.0022419458861828567
native-country,Dominican-Republic,70,0.002149811123736986
native-country,Vietnam,67,0.002057676361291115
native-country,Guatemala,64,0.001965541598845244
native-country,Japan,62,0.0019041184238813304
native-country,Poland,60,0.0018426952489174165
native-country,Columbia,59,0.0018119836614354597
native-country,Taiwan,51,0.001566290961579804
native-country,Haiti,44,0.0013513098492061054
native-country,Iran,43,0.0013205982617241485
native-country,Portugal,37,0.001136328736832407
native-country,Nicaragua,34,0.001044193974386536
native-country,Peru,31,0.0009520592119406652
native-country,France,29,0.0008906360369767513
native-country,Greece,29,0.0008906360369767513
native-country,Ecuador,28,0.0008599244494947943
native-country,Ireland,24,0.0007370780995669666
native-country,Hong,20,0.0006142317496391389
native-country,Cambodia,19,0.0005835201621571819
native-country,Trinadad&Tobago,19,0.0005835201621571819
native-country,Laos,18,0.000552808574675225
native-country,Thailand,18,0.000552808574675225
native-country,Yugoslavia,16,0.000491385399711311
native-country,Outlying-US(Guam-USVI-etc),14,0.00042996222474739717
native-country,Honduras,13,0.00039925063726544026
native-country,Hungary,13,0.00039925063726544026
native-country,Scotland,12,0.0003685390497834833
native-country,Holand-Netherlands,1,3.071158748195694e-05
occupation,Prof-specialty,4140,0.12714597217530174
occupation,Craft-repair,4099,0.1258867970885415
occupation,Exec-managerial,4066,0.12487331470163693
occupation,Adm-clerical,3770,0.11578268480697768
occupation,Sales,3650,0.11209729430914284
occupation,Other-service,3295,0.10119468075304812
occupation,Machine-op-inspct,2002,0.0614845981388778
occupation,<NA>,1843,0.056601455729246644
occupation,Transport-moving,1597,0.04904640520868524
occupation,Handlers-cleaners,1370,0.04207487485028101
occupation,Farming-fishing,994,0.0305273179570652
occupation,Tech-support,928,0.02850035318325604
occupation,Protective-serv,649,0.019931820275790057
occupation,Priv-house-serv,149,0.004576026534811584
occupation,Armed-Forces,9,0.0002764042873376125
race,White,27816,0.8542735173981143
race,Black,3124,0.0959429992936335
race,Asian-Pac-Islander,1039,0.03190933939375326
race,Amer-Indian-Eskimo,311,0.009551303706888609
race,Other,271,0.008322840207610331
relationship,Husband,13193,0.40517797364945796
relationship,Not-in-family,8305,0.2550597340376524
relationship,Own-child,5068,0.1556463253585578
relationship,Unmarried,3446,0.10583213046282362
relationship,Wife,1568,0.04815576917170849
relationship,Other-relative,981,0.03012806731979976
sex,Male,21790,0.6692054912318418
sex,Female,10771,0.33079450876815825
workclass,Private,22696,0.6970301894904948
workclass,Self-emp-not-inc,2541,0.0780381437916526
workclass,Local-gov,2093,0.06427935259973588
workclass,<NA>,1836,0.05638647461687295
workclass,State-gov,1298,0.039863640551580114
workclass,Self-emp-inc,1116,0.034274131629863945
workclass,Federal-gov,960,0.029483123982678664
workclass,Without-pay,14,0.00042996222474739717
workclass,Never-worked,7,0.00021498111237369858
