education,sample_size,high_income_count,high_income_rate,college_degree,education_num
Preschool,51,0,0.0,0,1.0
1st-4th,168,6,0.03571428571428571,0,2.0
5th-6th,333,16,0.04804804804804805,0,3.0
7th-8th,646,40,0.06191950464396285,0,4.0
9th,514,27,0.05252918287937743,0,5.0
10th,933,62,0.06645230439442658,0,6.0
11th,1175,60,0.05106382978723404,0,7.0
12th,433,33,0.07621247113163972,0,8.0
HS-grad,10501,1675,0.15950861822683554,0,9.0
Some-college,7291,1387,0.19023453572898094,0,10.0
Assoc-voc,1382,361,0.26121562952243127,0,11.0
Assoc-acdm,1067,265,0.24835988753514526,0,12.0
Bachelors,5355,2221,0.4147525676937442,1,13.0
Masters,1723,959,0.5565873476494486,1,14.0
Prof-school,576,423,0.734375,1,15.0
Doctorate,413,306,0.7409200968523002,1,16.0
