feature,importance_mean,importance_std
capital-gain,0.055657681721473916,0.0023291082541805155
marital-status,0.03557059071098071,0.001333444332662458
age,0.0337322551743369,0.0032983609920946484
occupation,0.01891016819177054,0.0011826307422158628
education,0.016902362792282834,0.0010853299979768684
relationship,0.01642719005618436,0.0006829205684413405
capital-loss,0.013722766307940093,0.0010600641897313139
hours-per-week,0.01305993348756499,0.0013181780488260837
workclass,0.0021414305853920124,0.0003061326235789963
native-country,0.0014522871395520776,0.0005401724674377516
sex,0.0009327749318349787,0.0002496811518167723
college_degree,0.0009232667004048123,0.00035035568387728776
race,0.0003396304118812754,0.0002248273958734192
