threshold,accuracy,precision,recall,specificity,balanced_accuracy,f1,tn,fp,fn,tp,predicted_positive_rate
0.05,0.6732106496599947,0.4231377673842768,0.9810237601658428,0.5755137159631541,0.7782687380644985,0.5912542047092744,11371,8387,119,6152,0.5585692881017327
0.06,0.6909985016712129,0.43672332523925156,0.9751235847552224,0.6008199210446401,0.7879717528999313,0.6032654269225077,11871,7887,156,6115,0.5379384532636674
0.07,0.7069422567136655,0.4498262219921615,0.9700207303460373,0.6234436683874887,0.796732199366763,0.6146306961705568,12318,7440,188,6083,0.5195359022628606
0.08,0.7192746551922855,0.46056037764580476,0.9645989475362781,0.6414110739953437,0.8030050107658109,0.6234475650605514,12673,7085,222,6049,0.5045910330784894
0.09,0.7325675208421376,0.4729284369114878,0.9610907351299633,0.6600364409353173,0.8105635880326403,0.6339205890086773,13041,6717,244,6027,0.4896077452072688
0.1,0.7431326597256905,0.483275570242605,0.9561473449210652,0.6755238384451867,0.8158355916831259,0.6420387621801049,13347,6411,275,5996,0.4766606477390603
0.11,0.7522378885089708,0.49264462809917353,0.950566097911019,0.6892904140095152,0.8199282559602671,0.6489575962114201,13619,6139,310,5961,0.46486611087633023
0.12,0.7601905566867725,0.5012253866306093,0.9457821719024079,0.7012855552181395,0.8235338635602737,0.6552143172779497,13856,5902,340,5931,0.4546083214875716
0.13,0.7689884359752583,0.5111727005023384,0.9411577100940839,0.7143435570401863,0.8277506335671351,0.6625133299657631,14114,5644,369,5902,0.4435821583618272
0.14,0.7748280763763494,0.5181255526083113,0.9344602136820284,0.7241623646118028,0.8293112891469157,0.6666287469427222,14308,5450,411,5860,0.4345153482653963
0.15,0.7811287410196319,0.5259072034663297,0.9290384308722692,0.7341836218240713,0.8316110263481702,0.6716237247103579,14506,5252,445,5826,0.4256022129163625
0.16,0.7867378692996273,0.533173608551419,0.9226598628607877,0.743597530114384,0.8331286964875859,0.6758161537113824,14692,5066,485,5786,0.41691958968842446
0.17,0.7920780667716777,0.5403627478620431,0.9169191516504545,0.7524547018929041,0.8346869267716792,0.6799905392620624,14867,4891,521,5750,0.4088132467632256
0.18,0.7974566829305775,0.547886108714409,0.9113379046404082,0.7613118736714243,0.8363248891559163,0.6843491797389534,15042,4716,556,5715,0.4007453225248761
0.19,0.8025663682815322,0.5553707689297593,0.9052782650295009,0.7699665958092924,0.8376224304193967,0.68841326623416,15213,4545,594,5677,0.3927158169733759
0.2,0.8074071228245419,0.5627243717590746,0.8998564822197417,0.7780645814353679,0.8389605318275548,0.6924351187189398,15373,4385,628,5643,0.38526259172461486
0.21,0.8125552268623458,0.5708180708180708,0.8945941636102694,0.7865168539325843,0.8405555087714269,0.6969376979936642,15540,4218,661,5610,0.37757885435475813
0.22,0.8173959814053555,0.578914535246413,0.887896667198214,0.7950197388399636,0.8414582030190888,0.7008622317326453,15708,4050,703,5568,0.3695109301164086
0.23,0.8211225940297361,0.5854768709643273,0.8819964917875937,0.8018018018018018,0.8418991467946977,0.7037791067565848,15842,3916,740,5531,0.36294133466518114
0.24,0.8248107879672673,0.5921974350684341,0.8762557805772604,0.8084826399433142,0.8423692102602873,0.7067524115755627,15974,3784,776,5495,0.3564869952745015
0.25,0.8279611202889086,0.5983543609434997,0.869717748365492,0.8147079663933596,0.8422128573794259,0.7089561939425452,16097,3661,817,5454,0.350186330631219
0.26,0.8305351723078105,0.6037946428571429,0.8627013235528623,0.8203259439214495,0.8415136337371559,0.7103932768695423,16208,3550,861,5410,0.3442314341695801
0.27,0.8327250374582197,0.6090567755148482,0.8536118641365014,0.8260957586800284,0.8398538114082649,0.7108897742363878,16322,3436,918,5353,0.3376618387183526
0.28,0.836566906143148,0.6169546561521512,0.8483495455270292,0.8328272092317036,0.8405883773793664,0.7143816301866523,16455,3303,951,5320,0.33128433670137153
0.29,0.8391025394752007,0.6232398532718022,0.8398979429118163,0.8388500860410972,0.8393740144764568,0.7155277815514196,16574,3184,1004,5267,0.32467632256329476
0.3,0.8418302662414998,0.6301982591876208,0.8312868760963164,0.8451766373114687,0.8382317567038926,0.7169084783057141,16699,3059,1058,5213,0.31779937761727306
0.31,0.8443274808867033,0.6367895450622612,0.8236325944825387,0.8508958396598846,0.8372642170712117,0.7182589347795856,16812,2946,1106,5165,0.3116139690345384
0.32,0.8464789273502632,0.6432439239390505,0.8145431350661776,0.8566150420083004,0.835579088537239,0.7188291584576414,16925,2833,1163,5108,0.3050827922701602
0.33,0.849168235429713,0.6512317812459693,0.8051347472492425,0.8631440429193238,0.8341393950842831,0.7200513405590416,17054,2704,1222,5049,0.2978600791424949
0.34,0.8521648930039571,0.6598074132700171,0.7976399298357518,0.8694705941896953,0.8335552620127236,0.7222061796130522,17179,2579,1269,5002,0.29125206500441814
0.35,0.8540858273464212,0.6663527512444504,0.7898261840216871,0.8744812227958295,0.8321537034087583,0.7228546409807356,17278,2480,1318,4953,0.2855660993507242
0.36,0.8557378308809405,0.6727073036792971,0.7813745814064742,0.8793400141714749,0.8303572977889746,0.7229804500184434,17374,2384,1371,4900,0.27984171501018096
0.37,0.8585808137077875,0.6819331272829446,0.7740392281932706,0.8854135033910315,0.8297263657921511,0.7250728209724401,17494,2264,1417,4854,0.2734642129931999
0.38,0.8608090975450459,0.6898480068827072,0.7671822675809281,0.8905253568174917,0.82885381219921,0.7264628161570404,17595,2163,1460,4811,0.2679319220869031
0.39,0.8623842637058665,0.696363370819337,0.7603253069685856,0.8947767992711813,0.8275510531198834,0.7269400823296234,17679,2079,1503,4768,0.26305274885704405
0.4,0.8637289177455915,0.7034657902599343,0.7509169191516505,0.8995343658265007,0.8252256424890756,0.726417277284998,17773,1985,1562,4709,0.2571746897691037
0.41,0.8654961773406585,0.71170895750535,0.7424653165364375,0.9045449944326349,0.8235051554845363,0.7267618824631233,17872,1886,1615,4656,0.2513350493680126
0.42,0.8669945061277805,0.7201065663689077,0.7327380003189284,0.909606235448932,0.8211721178839302,0.7263673727473917,17972,1786,1676,4595,0.24514964078527796
0.43,0.8683007414806562,0.7287944632222759,0.7220538988996971,0.9147180888753923,0.8183859938875446,0.7254085229093239,18073,1685,1743,4528,0.23869530139459832
0.44,0.869222789965039,0.7369813192263184,0.7108914048796046,0.9194756554307116,0.8151835301551581,0.7237012987012987,18167,1591,1813,4458,0.23239463675131583
0.45,0.8694533020861347,0.7413069040819755,0.7037155158666879,0.9220568883490232,0.8128862021078556,0.7220222513089005,18218,1540,1858,4413,0.22870644281378463
0.46,0.8705290253179147,0.7497847425520923,0.6943071280497528,0.9264601680332017,0.8103836480414772,0.7209802947507865,18305,1453,1917,4354,0.22309731453378923
0.47,0.8714894924891468,0.7582068478644547,0.6850582044331047,0.9306609980767284,0.8078596012549166,0.7197788389042473,18388,1370,1975,4296,0.21768027968804027
0.48,0.871796841983941,0.7648970747562297,0.6754903524158826,0.9341026419678105,0.8047964971918465,0.7174189177745787,18456,1302,2035,4236,0.21276268777133198
0.49,0.871527911175996,0.770767807585569,0.6643278583957901,0.9372912238080777,0.8008095411019339,0.7136005481329223,18519,1239,2105,4166,0.20765300242037726
0.5,0.8713742364285989,0.778116079923882,0.6520491149736884,0.9409859297499747,0.7965175223618316,0.7095262883914628,18592,1166,2182,4089,0.20189019939298475
0.51,0.8709516308732568,0.7841530054644809,0.6407271567533089,0.9440226743597531,0.792374915556531,0.7052215884159719,18652,1106,2253,4018,0.1968573514157286
0.52,0.8709900495601061,0.7903129360175404,0.632275554138096,0.9467557445085535,0.7895156493233247,0.7025159461374911,18706,1052,2306,3965,0.19274655192285528
0.53,0.870298513196819,0.7957099080694586,0.6211130601180035,0.9493875898370281,0.7852503249775158,0.6976535912591797,18758,1000,2376,3895,0.1880594721272427
0.54,0.8699911637020247,0.8006665278067069,0.6129803859033647,0.9515639234740358,0.7822721546887003,0.694364161849711,18801,957,2427,3844,0.18444811556341004
0.55,0.868953859157094,0.8049040511727079,0.6019773560835593,0.9536896447008807,0.77783350039222,0.6888057658972722,18843,915,2496,3775,0.18018364132313958
0.56,0.868415997541204,0.8111062527328378,0.5916121830649019,0.9562708776191923,0.7739415303420472,0.6841862609497464,18894,864,2561,3710,0.1757270736486227
0.57,0.8675323677436705,0.8172623061362104,0.5798118322436613,0.9588521105375037,0.7693319713905825,0.6783582089552239,18945,813,2635,3636,0.17092473779246226
0.58,0.866648737946137,0.8225806451612904,0.5692871950247169,0.9610284441745116,0.7651578195996143,0.6728866270851004,18988,770,2701,3570,0.16673710092589036
0.59,0.8660724576433978,0.8291184117229969,0.5594004146069207,0.9634072274521712,0.761403821029546,0.6680632260521805,19035,723,2763,3508,0.16254946405931844
0.6,0.8653425025932614,0.8356796116504854,0.5490352415882634,0.965735398319668,0.7573853199539657,0.6626888653642575,19081,677,2828,3443,0.15828498981904798
0.61,0.8645741288562757,0.8422233300099701,0.5388295327698932,0.9679623443668387,0.753395938568366,0.6572012058737723,19125,633,2892,3379,0.15413577163932538
0.62,0.8641899419877829,0.8495145631067961,0.5302184659543933,0.9701892904140095,0.7502038781842013,0.6529209621993127,19169,589,2946,3325,0.15037074032809558
0.63,0.8635752429981943,0.8569553805774278,0.5206506139371712,0.9724162364611803,0.7465334251991758,0.6477531990873922,19213,545,3006,3265,0.1463751968957701
0.64,0.8624611010795651,0.86159634506853,0.511242226120236,0.9739346087660694,0.7425884174431527,0.6417133706965572,19243,515,3065,3206,0.14295593376618387
0.65,0.8610011909792923,0.8671464157210075,0.4996013394992824,0.9757060431217734,0.7376536913105279,0.6339538648320518,19278,480,3138,3133,0.13880671558646127
0.66,0.8592723500710746,0.8747126436781609,0.4854090256737362,0.9779329891689442,0.7316710074213402,0.6243462209004205,19322,436,3227,3044,0.13369703023550655
0.67,0.8573898344154597,0.8793359027571894,0.4729708180513475,0.9794007490636704,0.726185783557509,0.6150974699294899,19351,407,3305,2966,0.12958623074263323
0.68,0.8555841561335433,0.885512584407612,0.4600542178280976,0.9811215710092115,0.7205878944186546,0.6055199916045755,19385,373,3386,2885,0.1251680817549656
0.69,0.8539321525990242,0.8927776010181355,0.4474565460054218,0.9829436177750784,0.7152000818902501,0.5961334183131506,19421,337,3465,2806,0.12074993276729801
0.7,0.8522033116908064,0.8976377952755905,0.4362940519853293,0.9842089280291527,0.710251490007241,0.587187466466359,19446,312,3535,2736,0.11710015751661608
0.71,0.8502055399746437,0.9045020463847203,0.4228990591612183,0.9858285251543678,0.704363792157793,0.5763338041942845,19478,280,3619,2652,0.1126435898420992
0.72,0.8477851627031389,0.9095423909187655,0.4088662095359592,0.9870938354084422,0.6979800224722007,0.5641364136413641,19503,255,3707,2564,0.10830227822813017
0.73,0.8459794844212225,0.9188888888888889,0.3956306809121352,0.9889158821743091,0.6922732815432222,0.5531155946940141,19539,219,3790,2481,0.10373045449306542
0.74,0.8436359445234162,0.9300508010941774,0.37952479668314465,0.9909403785808281,0.6852325876319864,0.5390713476783692,19579,179,3891,2380,0.09831341964731645
0.75,0.8419455223020477,0.9350544574425171,0.3696380162653484,0.9918514019637615,0.680744709114555,0.5298285714285714,19597,161,3953,2318,0.09523992469937377
0.76,0.8401014253332821,0.9428811423771525,0.35799712964439484,0.9931167122178358,0.6755569209311153,0.518955154877485,19622,136,4026,2245,0.09147489338814399
0.77,0.8371431864458873,0.9491600353669319,0.34236963801626535,0.9941795728312582,0.6682746054237618,0.5032227821399273,19643,115,4124,2147,0.08690306965307926
0.78,0.8357985324061623,0.9578175149014214,0.33312071439961727,0.9953436582650066,0.664232186332312,0.4943208707998107,19666,92,4182,2089,0.0837911560182873
0.79,0.8339928541242461,0.9634030418250951,0.3232339339818211,0.9961028444174511,0.6596683891996361,0.4840597014925373,19681,77,4244,2027,0.08083291713089247
0.8,0.8315340581658919,0.9668316831683168,0.31143358316058045,0.9966089685190809,0.6540212758398307,0.4711132553371125,19691,67,4318,1953,0.07760574743555265
0.81,0.829651542510277,0.9717514124293786,0.3017062669430713,0.9972163174410366,0.649461292192054,0.4604526648819664,19703,55,4379,1892,0.07480118329555496
0.82,0.8277690268546621,0.9760383386581469,0.2922978791261362,0.9977224415426663,0.6450101603344013,0.4498711498343355,19713,45,4438,1833,0.0721502939029544
0.83,0.8256559990779515,0.9789939192924267,0.28241109870833997,0.998076728413807,0.6402439135610735,0.43836633663366337,19720,38,4500,1771,0.06949940451035383
0.84,0.8241192516039801,0.9806927881885292,0.27539467389571043,0.998279178054459,0.6368369259750847,0.43002988047808766,19724,34,4544,1727,0.06765530754158823
0.85,0.8225440854431596,0.9830409356725146,0.26805932068250676,0.9985322401052739,0.6332957803938903,0.42125046986593156,19729,29,4590,1681,0.06569595451227477
0.86,0.8212378500902839,0.9850119904076738,0.26199968107159943,0.9987346897459257,0.6303671854087626,0.4139060335054793,19733,25,4628,1643,0.06408236966460486
0.87,0.8200084521111068,0.9859068627450981,0.25657789826184024,0.9988359145662516,0.6277069064140459,0.40718714412248513,19735,23,4662,1609,0.06269929693803065
0.88,0.8184717046371355,0.9867758186397985,0.24988040184978472,0.9989371393865776,0.6244087706181811,0.3987784705433261,19737,21,4704,1567,0.061008874716662186
0.89,0.8177801682738484,0.9891165172855314,0.24637218944346995,0.9991395890272294,0.6227558892353497,0.39448487169666796,19741,17,4726,1545,0.06000998885858081
0.9,0.8167428637289178,0.9895629484670581,0.24190719183543294,0.9991902014373925,0.6205486966364127,0.3887749871860584,19742,16,4754,1517,0.05889584693995159
0.91,0.815820815244535,0.9913506320691949,0.237601658427683,0.9993420386678814,0.6184718485477823,0.3833290455364034,19745,13,4781,1490,0.057743286334473086
0.92,0.81447616120481,0.9911444141689373,0.23202041141763674,0.9993420386678814,0.615681225042759,0.37601757332988756,19745,13,4816,1455,0.05639863229474817
0.93,0.8125552268623458,0.9929178470254958,0.22356880880242386,0.9994938758983702,0.6115313423503971,0.36496160354028373,19748,10,4869,1402,0.05424718583118829
0.94,0.8113258288831687,0.9941860465116279,0.21814702599266464,0.9995951007186962,0.6088710633556804,0.35778736759513535,19750,8,4903,1368,0.052864113104614086
0.95,0.8090207076722118,0.993920972644377,0.2085791739754425,0.9995951007186962,0.6040871373470693,0.34480031633056546,19750,8,4963,1308,0.050558991893657076
