mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l2_regularization,param_model__learning_rate,param_model__max_depth,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.26948118209838867,0.029506338506405317,0.027424335479736328,0.00522031958845903,1.6978276485321677,0.13858088583223765,5,236,63,24,"{'model__l2_regularization': 1.6978276485321677, 'model__learning_rate': 0.13858088583223765, 'model__max_depth': 5, 'model__max_iter': 236, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 24}",0.928114547617664,0.9272314423803344,0.927046306071583,0.9300503881714347,0.9189191398458872,0.9262723648173807,0.0038276841628208927,1
0.5640640735626221,0.041357929991359454,0.05234346389770508,0.005927431488164942,0.02815964543016891,0.04573188150041445,5,262,15,14,"{'model__l2_regularization': 0.02815964543016891, 'model__learning_rate': 0.04573188150041445, 'model__max_depth': 5, 'model__max_iter': 262, 'model__max_leaf_nodes': 15, 'model__min_samples_leaf': 14}",0.9278544487599197,0.9274738851868353,0.9273246663308989,0.927924444968796,0.9200419452487549,0.9261238780990411,0.0030493026932400685,2
0.5506244659423828,0.045532819482435066,0.04689235687255859,0.008841590235537426,1.9475110376829183,0.049142977972065204,5,207,63,12,"{'model__l2_regularization': 1.9475110376829183, 'model__learning_rate': 0.049142977972065204, 'model__max_depth': 5, 'model__max_iter': 207, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 12}",0.9280450332216261,0.9266871315434334,0.9268169791888629,0.9290863879334599,0.9196404963998778,0.926055205657452,0.003324924174271392,3
0.30309371948242186,0.030713596606703985,0.030911588668823244,0.007549846251830469,0.5494435859801283,0.0986108555514492,5,200,63,23,"{'model__l2_regularization': 0.5494435859801283, 'model__learning_rate': 0.0986108555514492, 'model__max_depth': 5, 'model__max_iter': 200, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 23}",0.9276656803491984,0.9264519529408726,0.9267240579134624,0.9292321980112958,0.9192529741324851,0.9258653726694629,0.0034462110149849597,4
0.44968113899230955,0.029221258385772324,0.047162961959838864,0.006655796873253421,1.4564326972237192,0.0654308949782438,7,197,31,31,"{'model__l2_regularization': 1.4564326972237192, 'model__learning_rate': 0.0654308949782438, 'model__max_depth': 7, 'model__max_iter': 197, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 31}",0.927358767732729,0.9273277939742621,0.9271445746082173,0.9289917021360269,0.9184500764347305,0.9258545829771933,0.003762053550466209,5
0.29993886947631837,0.02865847566936505,0.03859267234802246,0.0054076539084212194,0.41588332573637765,0.09997015447862509,9,290,31,35,"{'model__l2_regularization': 0.41588332573637765, 'model__learning_rate': 0.09997015447862509, 'model__max_depth': 9, 'model__max_iter': 290, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 35}",0.927253840342483,0.9273773318094647,0.9269056630119649,0.9284824760688957,0.918708020943964,0.9257454664353546,0.0035581201024612527,6
0.2724170684814453,0.0363602769758936,0.0319117546081543,0.005628170513885485,1.197730932977072,0.13088571537077442,7,165,31,15,"{'model__l2_regularization': 1.197730932977072, 'model__learning_rate': 0.13088571537077442, 'model__max_depth': 7, 'model__max_iter': 165, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 15}",0.9273321323182819,0.9268205103991115,0.9264509440236587,0.9295241206775026,0.9184639020989579,0.9257183219035026,0.0037806520526066636,7
0.5902036190032959,0.055603367640535035,0.06939401626586914,0.010314937595652053,1.9713009082212014,0.05011991066444416,7,282,63,26,"{'model__l2_regularization': 1.9713009082212014, 'model__learning_rate': 0.05011991066444416, 'model__max_depth': 7, 'model__max_iter': 282, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 26}",0.9274372614919707,0.9265350877192984,0.9266604961289864,0.9296652922604696,0.9182600492395481,0.9257116373680546,0.003891368260430203,8
0.3791048526763916,0.028356759450567273,0.04200544357299805,0.007068588328548284,0.8995082667395313,0.06933986673702332,7,113,63,24,"{'model__l2_regularization': 0.8995082667395313, 'model__learning_rate': 0.06933986673702332, 'model__max_depth': 7, 'model__max_iter': 113, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 24}",0.9272451636544434,0.9260628135714701,0.9269537883630681,0.9293453369513593,0.918617498164315,0.9256449201409312,0.0036749501888616756,9
0.564075517654419,0.024754497699401485,0.04478602409362793,0.004447293394480402,1.3848720657805407,0.05311304301312098,5,217,,41,"{'model__l2_regularization': 1.3848720657805407, 'model__learning_rate': 0.05311304301312098, 'model__max_depth': 5, 'model__max_iter': 217, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 41}",0.9271284319327948,0.9262615702626091,0.9265361975282335,0.9288531523110293,0.919155488062094,0.9255869680193521,0.003339584708055655,10
