college_degree,college_group,variable,count,mean,median,std,min,max
0,No college degree,age,24494,37.82754960398465,36.0,14.036487045695308,17.0,90.0
1,College degree,age,8067,40.87132763108963,40.0,12.075956187315796,18.0,90.0
0,No college degree,capital-gain,24494,543.00110231077,0.0,4521.068758592239,0.0,99999.0
1,College degree,capital-gain,8067,2701.010908640139,0.0,12433.837062840319,0.0,99999.0
0,No college degree,capital-loss,24494,68.58610271903324,0.0,356.36766197473895,0.0,4356.0
1,College degree,capital-loss,8067,144.1368538490145,0.0,515.2996871064736,0.0,3683.0
0,No college degree,education-num,24494,8.951253368171797,9.0,1.8491667450023448,1.0,12.0
1,College degree,education-num,8067,13.509978926490641,13.0,0.8366412589240874,13.0,16.0
0,No college degree,fnlwgt,24494,191001.85612803136,179563.0,106450.68828543583,12285.0,1484705.0
1,College degree,fnlwgt,8067,186063.45952646586,175958.0,102683.95002540165,14878.0,1226583.0
0,No college degree,hours-per-week,24494,39.44798726218666,40.0,12.237872955294609,1.0,99.0
1,College degree,hours-per-week,8067,43.44179992562291,40.0,12.192477677235194,1.0,99.0
