covariate,smd_before,smd_after
native-country_United-States,0.05482626487140416,0.039332940082949186
native-country_South,0.036917115198871836,0.03665408915322225
race_Other,0.04058836219109496,0.03532255578941105
native-country_Outlying-US(Guam-USVI-etc),0.004111098992122865,0.03169815006780045
native-country_Hong,0.023835496444025377,0.02745743961436946
native-country_Scotland,0.00022213505545979608,0.027449679256322596
native-country_Puerto-Rico,0.04702652074622305,0.025463050553641457
native-country_Vietnam,0.0022150653865267524,0.022201928070567242
race_Asian-Pac-Islander,0.15977635779350155,0.021145973286822238
native-country_Italy,0.0003221956427388325,0.0206163903740433
native-country_Jamaica,0.032593228250603144,0.019226149365224734
age,0.2324561570797328,0.018944469341677678
native-country_Germany,0.03576098074893417,0.018738556929565303
race_White,0.10094132771897027,0.01663280547050375
native-country_El-Salvador,0.05288483417343543,0.015853556323171696
native-country_Thailand,0.010215266622441635,0.015850070547549257
native-country_Cuba,0.010307512445389574,0.011335553971226982
native-country_China,0.06755927024930343,0.011229757380466464
native-country_Ecuador,0.011454437183476286,0.011207164403183336
native-country_India,0.10440982896480624,0.010512640178686965
native-country_Trinadad&Tobago,0.029506114702265662,0.009149127051441833
native-country_Honduras,0.010789450385481939,0.009149127051441832
native-country_Laos,0.019113484834249645,0.009149127051441832
native-country_Japan,0.0481920168047248,0.008977529630444516
native-country_France,0.04100189054795599,0.008835212643001912
native-country_Philippines,0.08015485499246515,0.008479004300570765
native-country_Ireland,0.00031420454719157466,0.008473359682239274
native-country_Portugal,0.03429829660970942,0.007087298682033563
sex_Male,0.1190149594395151,0.006069644679500666
sex_Female,0.11901495943951484,0.006069644679500544
native-country_Nicaragua,0.031271364628802686,0.005990226056520313
native-country_Cambodia,0.012444085435241422,0.005990226056520313
native-country_Hungary,0.006173712755512146,0.005990226056520313
race_Amer-Indian-Eskimo,0.08731333975315415,0.0059081180534515275
native-country_Poland,0.004286369636166043,0.0057912906068105985
native-country_Iran,0.0572217498810709,0.0052876949223248995
native-country_Peru,0.0214825319947252,0.005283209357959935
race_Black,0.2001698494823465,0.004911794871007895
native-country_Haiti,0.023878109768973397,0.004779139829190352
native-country_Columbia,0.02786462870211059,0.0038450592986624802
native-country_Mexico,0.17070705887240206,0.0037432000044471665
native-country_Canada,0.030557191581566702,0.0035086434549851295
native-country_nan,0.10187744539404059,0.0022562067779455662
native-country_Holand-Netherlands,0.009040061660662863,0.0
race_nan,0.0,0.0
native-country_Taiwan,0.09189382064721686,0.0
native-country_Greece,0.006749360467750526,0.0
native-country_England,0.041767021947586296,0.0
sex_nan,0.0,0.0
native-country_Dominican-Republic,0.05036041844835294,0.0
native-country_Yugoslavia,0.00025651528865814894,0.0
native-country_Guatemala,0.06555985103128083,0.0
