college_degree,high_income,age,sex,race,native-country,propensity_score,propensity_logit,source_index,match_distance,pair_id,matched_role
1,0,38,Male,Asian-Pac-Islander,Taiwan,0.8104052399459005,1.4526454661960078,7318,0.044494954984588775,0,treated
0,0,41,Male,Asian-Pac-Islander,Taiwan,0.8171475927838975,1.4971404211805965,26862,0.044494954984588775,0,control
1,1,36,Male,Asian-Pac-Islander,Taiwan,0.8058054998062613,1.4229821628729478,2339,0.044494954984588775,1,treated
0,1,33,Male,Asian-Pac-Islander,Taiwan,0.798747929310276,1.378487207888359,3909,0.044494954984588775,1,control
1,1,34,Male,White,Taiwan,0.7527496766636876,1.1133314595893993,8807,0.03169808665978424,2,treated
0,0,59,Male,Asian-Pac-Islander,India,0.7586018725792705,1.1450295462491835,22417,0.03169808665978424,2,control
1,0,28,Male,Asian-Pac-Islander,Taiwan,0.7865626366585793,1.304328949580711,18231,0.02966330332306022,3,treated
0,0,26,Male,Asian-Pac-Islander,Taiwan,0.7815403833857322,1.2746656462576509,31407,0.02966330332306022,3,control
1,1,38,Male,Asian-Pac-Islander,India,0.6971081729606818,0.8335648613570609,31305,0.029663303323059664,4,treated
0,0,36,Male,Asian-Pac-Islander,India,0.6908084430351146,0.8039015580340012,11752,0.029663303323059664,4,control
1,1,35,Male,Asian-Pac-Islander,Taiwan,0.8034740668038082,1.4081505112114185,24141,0.05932660664611866,5,treated
0,0,31,Male,Asian-Pac-Islander,Taiwan,0.7939372844745137,1.3488239045652999,4403,0.05932660664611866,5,control
1,0,57,Male,Asian-Pac-Islander,India,0.7531281908597861,1.115366242926124,4523,0.044494954984588775,6,treated
0,0,54,Male,Asian-Pac-Islander,India,0.7447625753868625,1.0708712879415352,24160,0.044494954984588775,6,control
1,1,48,Male,Asian-Pac-Islander,India,0.7274813633071813,0.9818813779723574,968,0.029663303323059553,7,treated
0,0,46,Male,Asian-Pac-Islander,India,0.7215610319007341,0.9522180746492979,6217,0.029663303323059553,7,control
1,0,48,Male,Asian-Pac-Islander,India,0.7274813633071813,0.9818813779723574,1029,0.029663303323059553,8,treated
0,0,46,Male,Asian-Pac-Islander,India,0.7215610319007341,0.9522180746492979,5627,0.029663303323059553,8,control
1,1,57,Male,Asian-Pac-Islander,India,0.7531281908597861,1.115366242926124,17252,0.08514114502387904,9,treated
0,0,21,Male,Asian-Pac-Islander,Taiwan,0.7686150326965244,1.200507387950003,16577,0.08514114502387904,9,control
1,1,48,Male,Asian-Pac-Islander,India,0.7274813633071813,0.9818813779723574,30131,0.030418446683470712,10,treated
0,0,20,Female,Asian-Pac-Islander,Taiwan,0.7334699873578443,1.0122998246558281,9857,0.030418446683470712,10,control
1,0,48,Male,Asian-Pac-Islander,India,0.7274813633071813,0.9818813779723574,9530,0.04449495498458933,11,treated
