covariate,smd_before,smd_after
native-country_United-States,0.05482626487140416,0.06893184777064883
race_White,0.10094132771897027,0.052824889417790365
race_Asian-Pac-Islander,0.15977635779350155,0.041916770091530366
occupation_Farming-fishing,0.1659958879515389,0.037235482657518054
native-country_nan,0.10187744539404059,0.03463741133648737
sex_Female,0.11901495943951484,0.03335802872826575
sex_Male,0.1190149594395151,0.03335802872826575
race_Black,0.2001698494823465,0.03173657062032787
occupation_Sales,0.033292957291566276,0.029689169182328206
occupation_nan,0.15653195479379084,0.029603516209389728
native-country_Haiti,0.023878109768973397,0.0262635523299264
native-country_Guatemala,0.06555985103128083,0.02491235630760832
native-country_France,0.04100189054795599,0.02398212820329804
native-country_Taiwan,0.09189382064721686,0.023770257406180034
native-country_Cuba,0.010307512445389574,0.02295791738289408
native-country_Germany,0.03576098074893417,0.022916390430402944
native-country_Jamaica,0.032593228250603144,0.02252904028069249
native-country_Philippines,0.08015485499246515,0.02153313240608648
native-country_Columbia,0.02786462870211059,0.02144718345678337
native-country_Laos,0.019113484834249645,0.021056132487151335
native-country_India,0.10440982896480624,0.021048339712723463
native-country_China,0.06755927024930343,0.017641647135625445
age,0.2324561570797328,0.017327288474064034
native-country_Puerto-Rico,0.04702652074622305,0.016693075582150798
native-country_England,0.041767021947586296,0.01611001520859217
native-country_Iran,0.0572217498810709,0.01584621640425462
native-country_Yugoslavia,0.00025651528865814894,0.01516109009518714
native-country_Ecuador,0.011454437183476286,0.015161090095187136
occupation_Craft-repair,0.4381639036434039,0.01485756554262965
occupation_Handlers-cleaners,0.27622623740423397,0.014769639026158056
occupation_Exec-managerial,0.4406912379196738,0.01456518915136654
occupation_Machine-op-inspct,0.3391967165275889,0.013775798921790011
native-country_Japan,0.0481920168047248,0.013574463754625572
occupation_Armed-Forces,0.0023265172393291036,0.010718969556773502
native-country_Trinadad&Tobago,0.029506114702265662,0.010718969556773502
occupation_Other-service,0.3875323194770747,0.010403033571191428
native-country_South,0.036917115198871836,0.010320256547778092
occupation_Transport-moving,0.2867321837084081,0.009276406221964555
native-country_Portugal,0.03429829660970942,0.008303546091103464
native-country_Hong,0.023835496444025377,0.008303546091103462
native-country_Scotland,0.00022213505545979608,0.008303546091103462
native-country_Ireland,0.00031420454719157466,0.008303546091103462
native-country_Hungary,0.006173712755512146,0.007018365037163104
native-country_Outlying-US(Guam-USVI-etc),0.004111098992122865,0.007018365037163103
native-country_Peru,0.0214825319947252,0.007018365037163103
hours-per-week,0.3266059450094082,0.006240992867981246
occupation_Tech-support,0.045345489997640355,0.005633317830533043
native-country_Dominican-Republic,0.05036041844835294,0.0055996715752463745
native-country_Canada,0.030557191581566702,0.004887159135239899
race_Amer-Indian-Eskimo,0.08731333975315415,0.0048054318256035644
race_Other,0.04058836219109496,0.004515480297879184
native-country_Mexico,0.17070705887240206,0.004515480297879183
occupation_Priv-house-serv,0.08136234222921052,0.004505533599031994
occupation_Protective-serv,0.05551116547664641,0.0037169178043709727
native-country_Poland,0.004286369636166043,0.003716638210090187
native-country_Italy,0.0003221956427388325,0.0037166382100901865
occupation_Adm-clerical,0.18972323662495627,0.0022875132906014107
occupation_Prof-specialty,0.9234400277020056,0.002258731861784217
sex_nan,0.0,0.0
native-country_Holand-Netherlands,0.009040061660662863,0.0
native-country_Nicaragua,0.031271364628802686,0.0
native-country_Honduras,0.010789450385481939,0.0
native-country_El-Salvador,0.05288483417343543,0.0
native-country_Vietnam,0.0022150653865267524,0.0
race_nan,0.0,0.0
native-country_Thailand,0.010215266622441635,0.0
native-country_Cambodia,0.012444085435241422,0.0
native-country_Greece,0.006749360467750526,0.0
